	Added	Red	Green	Blue	Error
0	2023-08-25 16:44:34.993495	0.0	0.0	0.0	-360.6244584051
1	2023-08-25 16:44:35.630134	135.2727203369	31.7925701141	69.1557006836	-223.3461273414
2	2023-08-25 16:44:35.948313	145.8881072998	34.0442504883	74.2516403198	-213.8559927779
3	2023-08-25 16:44:36.310539	139.3835754395	36.7427368164	77.7688369751	-214.7744665552
4	2023-08-25 16:44:36.731512	155.2734832764	37.4866638184	73.3988189697	-210.5459974772
5	2023-08-25 16:44:37.005706	165.0569915771	36.5130462646	78.9120559692	-201.071905906
6	2023-08-25 16:44:37.388174	187.1780090332	35.8313331604	87.4474868774	-184.2757486715
7	2023-08-25 16:44:37.751343	219.1299133301	35.0781288147	97.6002197266	-165.202388206
8	2023-08-25 16:44:38.213261	255.0	34.6070137024	110.9369659424	-148.1614092106
9	2023-08-25 16:44:38.695494	255.0	34.7299499512	131.4710388184	-128.3182515242
10	2023-08-25 16:44:39.172503	255.0	35.0750694275	166.0381164551	-95.6267599535
11	2023-08-25 16:44:39.651717	255.0	35.5425491333	213.227142334	-54.8474651782
12	2023-08-25 16:44:40.091324	255.0	36.5131492615	255.0	-36.5131492615
13	2023-08-25 16:44:40.532379	255.0	33.4911270142	255.0	-33.4911270142
14	2023-08-25 16:44:40.994224	139.0730438232	45.1263122559	255.0	-124.4003345101
15	2023-08-25 16:44:41.450070	255.0	31.7307319641	255.0	-31.7307319641
16	2023-08-25 16:44:41.917544	255.0	28.7120876312	255.0	-28.7120876312
17	2023-08-25 16:44:42.270697	255.0	21.9736919403	255.0	-21.9736919403
18	2023-08-25 16:44:42.657290	255.0	12.537858963	255.0	-12.537858963
19	2023-08-25 16:44:43.032214	255.0	1.1230288744	255.0	-1.1230288744
20	25/08/2023	255.0	255.0	255.0	
21	2023-08-29 21:03:47.143564	0.0	0.0	0.0	0.0
22	2023-08-29 21:28:07.176562	100.0	200.0	50.0	50.0
